userId,itemId,rating
1,1,3
2,1,1
3,1,5
4,1,3
5,1,4
6,1,4
7,1,5
8,1,4
9,1,5
10,1,3
11,1,4
12,1,1
13,1,2
14,1,4
15,2,1
16,2,4
17,2,5
18,2,1
19,2,5
20,2,1
21,2,5
22,3,4
23,3,1
24,3,1
25,3,5
26,3,3
27,3,4
10,3,1
28,3,5
29,3,3
30,3,1
31,3,5
32,3,5
33,3,5
34,3,5
35,3,4
36,3,4
37,3,5
38,3,5
39,3,4
40,3,4
41,3,3
42,3,4
43,4,4
44,4,1
10,4,5
45,4,5
46,4,1
47,4,5
48,4,4
49,4,1
50,4,5
51,4,5
52,4,1
53,4,4
54,4,1
55,4,5
56,4,5
57,4,1
58,4,1
59,4,5
60,4,1
61,4,5
62,5,4
63,5,5
64,5,3
65,5,5
66,5,3
67,5,5
68,5,5
69,5,2
70,5,3
71,5,1
72,5,5
73,5,4
74,6,3
75,6,1
76,6,4
77,7,1
78,7,3
79,7,4
80,7,3
81,7,2
82,7,4
83,7,3
84,7,4
85,7,3
86,7,2
87,7,5
88,7,2
89,7,5
90,7,1
91,7,4
92,7,3
93,7,4
94,7,1
95,7,5
96,7,5
97,7,5
98,7,3
99,7,4
100,7,2
101,7,3
102,7,4
103,7,1
104,7,5
105,7,1
106,8,1
107,8,4
108,8,5
109,8,1
110,8,5
111,8,1
112,8,5
10,8,3
113,8,4
114,8,5
115,8,3
116,8,2
117,8,1
118,8,3
119,8,5
120,8,5
121,8,2
122,9,3
123,9,5
124,9,1
125,9,1
126,9,4
127,9,5
128,9,3
129,9,5
130,9,2
131,9,1
132,9,3
133,9,5
134,9,1
135,9,1
136,9,5
137,9,1
138,9,1
139,9,5
140,9,5
141,9,3
142,9,4
143,9,3
144,9,3
145,9,1
146,9,5
147,9,5
148,9,1
149,9,1
150,9,2
151,9,4
152,9,1
153,9,1
154,9,1
155,9,1
156,9,1
157,9,4
158,9,1
159,9,1
160,9,5
161,9,2
162,9,4
163,9,5
164,9,1
165,9,4
166,9,5
167,9,5
168,9,3
169,9,5
170,9,5
171,9,5
172,9,5
173,9,1
174,9,2
175,9,5
176,9,1
177,9,5
178,9,1
179,9,3
180,9,1
181,9,1
182,9,3
183,9,4
184,9,2
185,9,1
186,9,2
187,9,1
188,9,1
189,9,1
190,9,4
191,9,5
192,9,2
193,9,1
194,9,5
195,9,5
196,9,5
197,9,1
198,9,1
199,9,5
200,9,1
201,9,5
202,9,3
203,9,5
204,9,5
205,9,1
206,9,4
207,9,4
208,9,1
209,9,5
210,9,1
211,9,5
212,9,5
213,9,4
214,9,1
215,9,1
216,9,2
217,9,1
218,9,1
219,9,3
220,9,1
221,9,1
222,9,5
223,9,5
224,9,2
225,9,5
226,9,2
227,9,1
228,9,1
229,9,1
230,9,3
231,9,1
232,9,1
233,9,1
234,9,5
235,9,5
236,9,5
237,9,5
238,9,1
239,9,5
240,9,5
241,9,5
242,9,5
243,9,5
244,9,3
245,9,2
246,9,1
247,9,5
248,9,5
249,9,5
250,9,3
251,9,5
252,9,1
253,9,5
254,9,4
255,9,1
256,9,1
257,9,5
258,9,1
259,9,5
260,9,5
261,9,1
262,9,1
263,9,5
264,9,5
265,9,2
266,9,5
267,9,3
268,9,5
269,9,5
270,9,5
62,9,3
271,9,5
272,9,5
273,9,5
274,9,5
275,9,3
276,9,5
277,9,4
278,9,4
279,9,3
280,9,2
8,9,3
281,9,4
282,9,2
283,9,5
284,9,5
285,9,5
286,9,4
287,9,3
288,9,5
289,9,5
290,9,5
291,9,4
292,9,4
293,9,3
294,9,4
295,9,4
296,9,5
10,9,1
297,9,1
298,9,3
299,9,4
300,9,5
301,9,1
302,9,1
303,9,2
304,9,1
305,9,1
306,9,2
307,9,5
308,10,5
208,10,5
309,10,5
310,10,1
311,10,5
312,10,5
313,10,2
314,10,1
315,10,5
316,10,1
317,10,5
318,10,1
319,10,5
320,10,3
321,10,5
322,10,5
323,10,5
324,10,2
325,10,1
326,10,1
327,10,5
328,10,2
329,10,5
330,10,4
331,10,1
332,10,1
333,10,5
334,10,3
335,10,4
336,10,1
337,10,5
338,10,1
339,10,5
340,10,4
341,10,5
342,10,4
343,10,1
344,10,4
345,10,5
346,10,2
347,10,4
348,10,1
349,10,5
350,10,1
351,10,1
352,10,3
353,10,3
354,10,3
355,10,3
356,10,5
357,10,5
358,10,4
359,10,4
360,10,5
361,10,4
362,10,3
363,10,5
364,10,5
365,10,5
366,10,5
367,10,4
368,10,5
369,10,5
370,10,5
371,10,5
372,10,4
373,10,5
374,10,5
375,10,5
376,10,5
377,10,5
378,10,5
379,10,4
380,10,5
381,10,4
382,10,5
383,10,5
384,10,3
385,10,5
386,10,5
387,10,5
388,10,5
389,10,5
390,10,5
391,10,5
392,10,5
393,10,2
394,10,5
395,10,5
396,10,5
397,10,1
398,10,4
399,10,5
400,10,5
401,10,5
402,10,5
403,10,5
404,10,5
405,10,4
406,10,4
407,10,4
408,10,5
409,10,1
410,10,5
411,10,5
412,10,4
413,10,4
414,10,2
415,10,4
416,10,4
417,10,4
418,10,4
419,10,5
420,10,1
421,10,5
422,10,2
423,10,5
424,10,2
425,10,1
426,10,4
427,10,5
428,10,5
429,10,5
430,10,5
431,10,4
432,10,5
433,10,5
434,10,5
435,10,1
436,10,3
437,10,5
438,10,5
439,10,5
440,10,1
441,10,4
442,10,2
443,10,5
444,10,3
445,10,5
446,10,5
447,10,1
448,10,3
294,10,5
449,10,5
450,10,5
451,10,1
62,10,1
452,10,5
453,10,5
454,10,5
455,10,4
456,10,5
457,10,3
458,10,5
459,10,4
460,10,5
461,10,5
462,10,5
463,10,5
464,10,5
465,10,5
466,10,4
467,10,5
468,10,3
469,10,4
470,10,5
471,10,5
472,10,5
473,10,4
474,10,5
475,10,4
476,10,5
477,10,3
478,10,1
479,10,5
480,10,4
481,10,5
482,10,1
483,10,1
484,10,3
485,10,5
486,10,1
487,10,2
488,10,5
489,10,5
490,10,2
491,10,5
492,10,3
493,10,1
494,10,5
495,10,5
496,10,1
497,10,2
498,10,5
499,10,3
500,10,1
501,10,1
502,10,3
503,10,5
504,10,5
505,10,3
506,10,3
507,10,1
508,10,1
509,10,5
510,10,5
511,10,1
512,10,3
513,10,5
514,10,5
515,10,1
516,10,5
517,10,5
518,10,1
519,10,5
520,10,5
521,10,5
522,10,5
523,10,4
524,10,5
525,10,5
526,10,5
527,10,3
528,10,5
529,10,5
530,10,5
531,10,3
532,10,4
49,10,5
533,10,5
534,10,3
535,10,5
536,10,1
537,10,1
538,10,5
539,10,5
540,10,5
541,10,4
542,10,5
543,10,5
544,10,5
545,10,3
546,10,5
547,10,2
548,10,5
549,10,5
550,10,1
551,10,5
552,10,5
553,10,5
554,10,5
555,10,5
556,10,5
557,10,4
558,10,5
559,10,5
560,10,5
561,10,4
562,10,1
563,10,5
564,10,4
565,10,5
566,10,5
567,10,5
568,10,5
569,10,4
570,10,1
571,10,5
572,10,5
573,10,5
574,10,5
575,10,5
576,10,4
577,10,5
578,10,5
579,10,1
580,10,5
581,10,5
582,10,4
583,10,4
584,10,5
585,10,1
586,10,5
587,10,3
588,10,5
589,10,5
590,10,5
591,10,5
592,10,2
593,10,4
594,10,5
595,10,5
596,10,5
597,10,5
598,10,3
599,10,5
600,10,5
601,10,5
10,10,5
602,10,1
603,10,4
604,10,5
605,10,5
606,10,5
607,10,5
608,10,5
609,10,5
610,10,5
611,10,5
612,10,5
613,10,5
614,10,2
615,10,3
616,10,2
617,10,5
618,10,5
619,10,5
620,10,5
621,10,5
622,10,3
623,10,1
624,10,5
625,10,4
626,10,5
627,10,2
628,10,5
629,10,5
630,10,4
631,10,5
632,10,4
633,10,5
634,10,5
635,10,1
636,11,3
637,11,4
638,11,1
639,11,3
640,11,5
641,11,5
642,11,5
643,11,5
644,11,5
645,11,5
646,11,5
647,11,5
648,11,1
649,11,4
650,11,5
651,11,1
652,11,5
653,11,5
654,11,5
655,11,1
656,11,5
657,11,4
658,11,5
659,11,1
660,11,1
661,11,1
662,11,1
663,11,1
664,11,4
665,11,5
666,11,3
10,11,1
667,11,1
64,11,2
668,11,5
669,11,5
670,11,4
671,11,1
672,11,5
673,11,5
674,11,5
675,11,4
676,11,1
677,11,5
678,11,3
679,11,5
680,11,4
681,11,1
682,11,5
683,11,5
684,11,1
685,11,1
686,11,1
687,11,4
688,12,3
689,12,5
690,12,4
691,12,5
692,12,1
693,12,5
694,12,5
695,12,4
696,12,4
697,12,5
698,12,1
699,12,4
700,12,5
